meter,date,time,kw
82445252,2024-08-22,05:00:00.000,0.552
82445252,2024-08-22,05:15:00.000,0.552
82445252,2024-08-22,05:30:00.000,0.192
82445252,2024-08-22,05:45:00.000,0.432
82445252,2024-08-22,06:00:00.000,0.232
82445252,2024-08-22,06:15:00.000,0.612
82445252,2024-08-22,06:30:00.000,0.128
82445252,2024-08-22,06:45:00.000,0.428
82445252,2024-08-22,07:00:00.000,0.064
82445252,2024-08-22,07:15:00.000,0.532
82445252,2024-08-22,07:30:00.000,0.448
82445252,2024-08-22,07:45:00.000,0.316
82445252,2024-08-22,08:00:00.000,0.14
82445252,2024-08-22,08:15:00.000,0.152
82445252,2024-08-22,08:30:00.000,0.516
82445252,2024-08-22,08:45:00.000,0.16
82445252,2024-08-22,09:00:00.000,0.164
82445252,2024-08-22,09:15:00.000,0.524
82445252,2024-08-22,09:30:00.000,0.276
82445252,2024-08-22,09:45:00.000,0.628
82445252,2024-08-22,10:00:00.000,0.108
82445252,2024-08-22,10:15:00.000,0.944
82445252,2024-08-22,10:30:00.000,0.712
82445252,2024-08-22,10:45:00.000,1.052
82445252,2024-08-22,11:00:00.000,1.112
82445252,2024-08-22,11:15:00.000,1.052
82445252,2024-08-22,11:30:00.000,1.26
82445252,2024-08-22,11:45:00.000,1.052
82445252,2024-08-22,12:00:00.000,1.232
82445252,2024-08-22,12:15:00.000,1.804
82445252,2024-08-22,12:30:00.000,1.596
82445252,2024-08-22,12:45:00.000,1.92
82445252,2024-08-22,13:00:00.000,2.464
82445252,2024-08-22,13:15:00.000,2.112
82445252,2024-08-22,13:30:00.000,1.468
82445252,2024-08-22,13:45:00.000,2.468
82445252,2024-08-22,14:00:00.000,2.804
82445252,2024-08-22,14:15:00.000,2.708
82445252,2024-08-22,14:30:00.000,2.948
82445252,2024-08-22,14:45:00.000,2.6
82445252,2024-08-22,15:00:00.000,2.428
82445252,2024-08-22,15:15:00.000,2.188
82445252,2024-08-22,15:30:00.000,2.16
82445252,2024-08-22,15:45:00.000,2.024
82445252,2024-08-22,16:00:00.000,1.776
82445252,2024-08-22,16:15:00.000,1.708
82445252,2024-08-22,16:30:00.000,1.668
82445252,2024-08-22,16:45:00.000,1.732
82445252,2024-08-22,17:00:00.000,1.8
82445252,2024-08-22,17:15:00.000,1.808
82445252,2024-08-22,17:30:00.000,1.756
82445252,2024-08-22,17:45:00.000,1.84
82445252,2024-08-22,18:00:00.000,1.816
82445252,2024-08-22,18:15:00.000,1.772
82445252,2024-08-22,18:30:00.000,2.2
82445252,2024-08-22,18:45:00.000,2.348
82445252,2024-08-22,19:00:00.000,2.392
82445252,2024-08-22,19:15:00.000,1.952
82445252,2024-08-22,19:30:00.000,1.744
82445252,2024-08-22,19:45:00.000,1.84
82445252,2024-08-22,20:00:00.000,1.608
82445252,2024-08-22,20:15:00.000,1.764
82445252,2024-08-22,20:30:00.000,2.304
82445252,2024-08-22,20:45:00.000,2.268
82445252,2024-08-22,21:00:00.000,2.076
82445252,2024-08-22,21:15:00.000,1.584
82445252,2024-08-22,21:30:00.000,1.428
82445252,2024-08-22,21:45:00.000,1.836
82445252,2024-08-22,22:00:00.000,1.788
82445252,2024-08-22,22:15:00.000,2.072
82445252,2024-08-22,22:30:00.000,1.836
82445252,2024-08-22,22:45:00.000,1.536
82445252,2024-08-22,23:00:00.000,1.34
82445252,2024-08-22,23:15:00.000,1.228
82445252,2024-08-22,23:30:00.000,1.2
82445252,2024-08-22,23:45:00.000,1
82445252,2024-08-23,00:00:00.000,1.3
82445252,2024-08-23,00:15:00.000,0.68
82445252,2024-08-23,00:30:00.000,1.26
82445252,2024-08-23,00:45:00.000,0.536
82445252,2024-08-23,01:00:00.000,1.06
82445252,2024-08-23,01:15:00.000,0.632
82445252,2024-08-23,01:30:00.000,0.876
82445252,2024-08-23,01:45:00.000,0.9
82445252,2024-08-23,02:00:00.000,0.912
82445252,2024-08-23,02:15:00.000,0.284
82445252,2024-08-23,02:30:00.000,0.836
82445252,2024-08-23,02:45:00.000,0.832
82445252,2024-08-23,03:00:00.000,0.52
82445252,2024-08-23,03:15:00.000,0.544
82445252,2024-08-23,03:30:00.000,0.712
82445252,2024-08-23,03:45:00.000,1
82445252,2024-08-23,04:00:00.000,0.396
82445252,2024-08-23,04:15:00.000,0.524
82445252,2024-08-23,04:30:00.000,0.548
82445252,2024-08-23,04:45:00.000,0.928
82445252,2024-08-23,05:00:00.000,0.46
82445252,2024-08-23,05:15:00.000,0.696
82445252,2024-08-23,05:30:00.000,0.576
82445252,2024-08-23,05:45:00.000,0.696
82445252,2024-08-23,06:00:00.000,0.44
82445252,2024-08-23,06:15:00.000,0.56
82445252,2024-08-23,06:30:00.000,0.668
82445252,2024-08-23,06:45:00.000,0.712
82445252,2024-08-23,07:00:00.000,0.632
82445252,2024-08-23,07:15:00.000,0.892
82445252,2024-08-23,07:30:00.000,0.8
82445252,2024-08-23,07:45:00.000,0.512
82445252,2024-08-23,08:00:00.000,0.696
82445252,2024-08-23,08:15:00.000,0.792
82445252,2024-08-23,08:30:00.000,0.652
82445252,2024-08-23,08:45:00.000,0.844
82445252,2024-08-23,09:00:00.000,0.776
82445252,2024-08-23,09:15:00.000,0.608
82445252,2024-08-23,09:30:00.000,0.344
82445252,2024-08-23,09:45:00.000,0.364
82445252,2024-08-23,10:00:00.000,0.58
82445252,2024-08-23,10:15:00.000,0.684
82445252,2024-08-23,10:30:00.000,0.376
82445252,2024-08-23,10:45:00.000,0.508
82445252,2024-08-23,11:00:00.000,0.512
82445252,2024-08-23,11:15:00.000,0.384
82445252,2024-08-23,11:30:00.000,0.304
82445252,2024-08-23,11:45:00.000,0.664
82445252,2024-08-23,12:00:00.000,0.592
82445252,2024-08-23,12:15:00.000,0.908
82445252,2024-08-23,12:30:00.000,0.712
82445252,2024-08-23,12:45:00.000,1.104
82445252,2024-08-23,13:00:00.000,0.696
82445252,2024-08-23,13:15:00.000,0.856
82445252,2024-08-23,13:30:00.000,1.128
82445252,2024-08-23,13:45:00.000,0.924
82445252,2024-08-23,14:00:00.000,0.86
82445252,2024-08-23,14:15:00.000,0.868
82445252,2024-08-23,14:30:00.000,0.708
82445252,2024-08-23,14:45:00.000,0.9
82445252,2024-08-23,15:00:00.000,0.94
